,drug_name,Disabled macroautophagy count,Disabled macroautophagy count marg,Disabled macroautophagy,Disabled macroautophagy marg,Cmap pAGE Disabled macroautophagy level1,Cmap pAGE Disabled macroautophagy level2,Cmap pAGE Disabled macroautophagy level3,Cmap pAGE Disabled macroautophagy level4,Cmap pAGE Disabled macroautophagy level5,Cmap pAGE Disabled macroautophagy level1 z_score,Cmap pAGE Disabled macroautophagy level2 z_score,Cmap pAGE Disabled macroautophagy level3 z_score,Cmap pAGE Disabled macroautophagy level4 z_score,Cmap pAGE Disabled macroautophagy level5 z_score
3454,tertatolol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3455,(2r)-2-(4-chlorophenyl)-2-[4-(1h-pyrazol-4-yl)phenyl]ethanamine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3456,telithromycin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3457,chlormerodrin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3458,umifenovir,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3459,degarelix,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3460,(2r)-3-{[(benzylamino)carbonyl]amino}-2-hydroxypropanoic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3461,esmolol,0,0,[],[],,0.0,1.0,1.0,0.3,0,0,1.4142135623730951,1.4142135623730951,1.3416407864998738
3462,benzyl alcohol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3463,tmr,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3464,"(4r)-4-(3-hydroxyphenyl)-n,n,7,8-tetramethyl-3,4-dihydroisoquinoline-2(1h)-carboxamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3465,udenafil,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3466,esomeprazole,0,0,[],[],,0.0,0.0,0.0,-0.3,0,0,0.0,0.0,-1.3416407864998738
3467,ulapualide a,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3468,ramosetron,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3469,coagulation factor vii human,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3470,cisapride,0,0,[],[],,0.0,1.0,1.0,0.3,0,0,1.4142135623730951,1.4142135623730951,1.3416407864998738
3471,(2s)-pyrrolidin-2-ylmethylamine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3472,"(2z,3e)-2,3'-biindole-2',3(1h,1'h)-dione 3-{o-[(3r)-3,4-dihydroxybutyl]oxime}",0,1,[],[2],,,,,,0,0,0.0,0.0,0.0
3473,(2z)-n-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3474,ramipril,0,0,[],[],,0.0,0.0,0.0,0.1,0,0,0.0,0.0,0.447213595499958
3475,ulocuplumab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3476,ramelteon,0,0,[],[],,0.0,-1.0,-1.0,-0.1,0,0,-1.4142135623730951,-1.4142135623730951,-0.447213595499958
3477,(2z)-n-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3478,umeclidinium,0,0,[],[],,0.0,-1.0,-1.0,-0.3,0,0,-1.4142135623730951,-1.4142135623730951,-1.3416407864998738
3479,debrisoquine,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
3480,chloropyramine,0,0,[],[],,0.0,1.0,1.0,0.4,0,0,1.4142135623730951,1.4142135623730951,1.788854381999832
3481,"(7r,8r)-8-(2,4,5-trifluorophenyl)-6,7,8,9-tetrahydroimidazo[1,2-a:4,5-c']dipyridin-7-amine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3482,bethanechol,0,0,[],[],,0.0,0.0,0.0,-0.5,0,0,0.0,0.0,-2.23606797749979
3483,zopolrestat,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3484,eslicarbazepine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3485,temafloxacin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3486,zopiclone,0,0,[],[],,0.0,1.0,1.0,-0.1,0,0,1.4142135623730951,1.4142135623730951,-0.447213595499958
3487,zonisamide,0,0,[],[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
3488,defibrotide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3489,eslicarbazepine acetate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3490,chlormezanone,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
3491,zolpidem,0,0,[],[],,0.0,0.0,0.0,0.2,0,0,0.0,0.0,0.894427190999916
3492,tenofovir disoproxil,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3493,tenapanor,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3494,zolmitriptan,0,0,[],[],,0.0,0.0,0.0,0.4,0,0,0.0,0.0,1.788854381999832
3495,bethanidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3496,rapacuronium,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3497,ranitidine,0,0,[],[],,0.0,-1.0,-1.0,-0.1,0,0,-1.4142135623730951,-1.4142135623730951,-0.447213595499958
3498,teniposide,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
3499,bevantolol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3500,decamethonium,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3501,tocopherol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3502,betahistine,0,0,[],[],,0.0,-1.0,-1.0,0.2,0,0,-1.4142135623730951,-1.4142135623730951,0.894427190999916
3503,"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3504,"1-[4-(aminosulfonyl)phenyl]-1,6-dihydropyrazolo[3,4-e]indazole-3-carboxamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3505,sgn-30,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3506,sgs518,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3507,sns-032,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3508,sns-314,0,0,[],[],,0.0,0.0,0.0,0.2,0,0,0.0,0.0,0.894427190999916
3509,piperine,0,0,[],[],,0.0,1.0,1.0,0.1,0,0,1.4142135623730951,1.4142135623730951,0.447213595499958
3510,thioproperazine,0,0,[],[],,0.0,-1.0,-1.0,-0.3,0,0,-1.4142135623730951,-1.4142135623730951,-1.3416407864998738
3511,zk-805623,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3512,o6-cyclohexylmethoxy-2-(4'-sulphamoylanilino) purine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3513,zk-806711,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3514,o-acetyl-l-serine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3515,3-(6-cyclohexylmethoxy-9h-purin-2-ylamino)-benzenesulfonamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3516,3-({2-[(4-{[6-(cyclohexylmethoxy)-9h-purin-2-yl]amino}phenyl)sulfonyl]ethyl}amino)propan-1-ol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3517,nitrous acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3518,nitroaspirin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3519,zinc acetate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3520,nipecotic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3521,"(2r)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3522,nimesulide,0,0,[],[],,0.0,-1.0,-1.0,-0.4,0,0,-1.4142135623730951,-1.4142135623730951,-1.788854381999832
3523,"3-mercapto-1-(1,3,4,9-tetrahydro-b-carbolin-2-yl)-propan-1-one",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3524,sc-74020,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3525,plasminogen,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3526,(2r)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9h-purin-2-yl}amino)butan-1-ol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3527,trifarotene,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3528,tocilizumab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3529,"1,4:3,6-dianhydro-2-o-(3-carbamimidoylphenyl)-5-o-(4-carbamimidoylphenyl)-d-glucitol",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3530,trabedersen,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3531,sertindole,0,0,[],[],,0.0,-1.0,-1.0,0.0,0,0,-1.4142135623730951,-1.4142135623730951,0.0
3532,"1-(3,5-dichlorophenyl)-5-methyl-1h-1,2,4-triazole-3-carboxylic acid",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3533,1-(4-amidinophenyl)-3-(4-chlorophenyl)urea,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3534,1-(4-iodobenzoyl)-5-methoxy-2-methyl indole-3-acetic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3535,tizanidine,0,0,[],[],,0.0,-1.0,-1.0,-0.2,0,0,-1.4142135623730951,-1.4142135623730951,-0.894427190999916
3536,sarilumab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3537,saprisartan,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3538,1-cyclohexyl-n-{[1-(4-methylphenyl)-1h-indol-3-yl]methyl}methanamine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3539,suvn-502,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3540,sp4160,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3541,sp2456,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3542,tris(hydroxyethyl)aminomethane,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3543,trimethyllysine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3544,"s,s-(2-hydroxyethyl)thiocysteine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3545,"1-methyl-8-(phenylamino)-4,5-dihydro-1h-pyrazolo[4,3-h]quinazoline-3-carboxylic acid",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3546,1-hydroxy-2-isopropylguanidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3547,nialamide,0,0,[],[],,0.0,1.0,1.0,0.0,0,0,1.4142135623730951,1.4142135623730951,0.0
3548,netarsudil,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3549,"(3r)-3-(aminomethyl)-9-methoxy-1,2,3,4-tetrahydro-5h-[1]benzothieno[3,2-e][1,4]diazepin-5-one",0,1,[],[4],,,,,,0,0,0.0,0.0,0.0
3550,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1h-indol-3-yl]-n-[(1r)-1-(hydroxymethyl)propyl]acetamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3551,pegfilgrastim,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3552,patupilone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3553,xl844,0,1,[],[2],,,,,,0,0,0.0,0.0,0.0
3554,palivizumab,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3555,px-478,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3556,omadacycline,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3557,onercept,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3558,opaganib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3559,oxymetazoline,0,0,[],[],,0.0,-1.0,-1.0,0.3,0,0,-1.4142135623730951,-1.4142135623730951,1.3416407864998738
3560,xylometazoline,0,0,[],[],,0.0,-1.0,-1.0,-0.1,0,0,-1.4142135623730951,-1.4142135623730951,-0.447213595499958
3561,p-(2'-iodo-5'-thenoyl)hydrotropic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3562,2h-benzimidazol-2-amine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3563,pn0621,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3564,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3565,pr-104,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3566,prx-07034,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3567,p54,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3568,"4-{5-[(z)-(2-imino-4-oxo-1,3-thiazolidin-5-ylidene)methyl]-2-furyl}-n-methylbenzenesulfonamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3569,(+)-2-(4-biphenyl)propionic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3570,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1h-indol-3-yl]-n-[(1s)-1-(hydroxymethyl)propyl]acetamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3571,tazemetostat,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3572,"4-(2,4-dimethyl-1,3-thiazol-5-yl)-n-[4-(trifluoromethyl)phenyl]-2-pyrimidinamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3573,vorinostat,0,2,[],"[3, 4]",,0.0,0.0,0.0,0.2,0,0,0.0,0.0,0.894427190999916
3574,"n-cyclopropyl-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3575,"4,4'-bis([h]methylsulfonyl)-2,2',5,5'-tetrachlorobiphenyl",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3576,tetryzoline,0,0,[],[],,0.0,0.0,0.0,0.2,0,0,0.0,0.0,0.894427190999916
3577,osi-7904l,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3578,[(1s)-4-(1-aminobutylideneamino)-1-carboxybutyl]azanium,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3579,zomepirac,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3580,zinc;[amino-[2-[[5-[amino(azaniumylidene)methyl]benzimidazol-1-id-2-yl]methyl]benzimidazol-1-id-5-yl]methylidene]azanium,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3581,"nalpha-(2-naphthylsulfonylglycyl)-3-amidino-d,l-phenylalanine-isopropylester",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3582,naphazoline,0,0,[],[],,0.0,1.0,1.0,-0.1,0,0,1.4142135623730951,1.4142135623730951,-0.447213595499958
3583,3-tyrosine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3584,neratinib,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
3585,[(1-{2[(4-carbamimidoyl-phenylamino)-methyl]-1-methyl-1h-benzoimidazol-5-yl}-cyclopropyl)-pyridin-2-yl-methyleneaminooxy]-acetic acid ethyl ester,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3586,n-[[2-methyl-4-hydroxycarbamoyl]but-4-yl-n]-benzyl-p-[phenyl]-p-[methyl]phosphinamid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3587,"(2r,3r)-n^1^-[(1s)-2,2-dimethyl-1-(methylcarbamoyl)propyl]-n^4^-hydroxy-2-(2-methylpropyl)-3-{[(1,3-thiazol-2-ylcarbonyl)amino]methyl}butanediamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3588,vitamin e,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3589,phenylbutyric acid,0,2,[],"[3, 4]",,,,,,0,0,0.0,0.0,0.0
3590,tamsulosin,0,0,[],[],,0.0,-1.0,-1.0,-0.1,0,0,-1.4142135623730951,-1.4142135623730951,-0.447213595499958
3591,phentolamine,0,0,[],[],,0.0,-1.0,-1.0,0.0,0,0,-1.4142135623730951,-1.4142135623730951,0.0
3592,phendimetrazine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3593,ripretinib,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3594,vanoxerine,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
3595,6-chloro-2-(2-hydroxy-biphenyl-3-yl)-1h-indole-5-carboxamidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3596,raloxifene,0,0,[],[],,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
3597,"2,5-bis-o-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-d-glucitol",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3598,"(3as,4r,9br)-4-(4-hydroxyphenyl)-6-(methoxymethyl)-1,2,3,3a,4,9b-hexahydrocyclopenta[c]chromen-8-ol",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3599,"(5z)-7-{(1r,4s,5r,6r)-6-[(1e)-1-octen-1-yl]-2,3-diazabicyclo[2.2.1]hept-2-en-5-yl}-5-heptenoic acid",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3600,tetrandrine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3601,"4-(2-aminoethoxy)-n-(3-chloro-2-ethoxy-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3602,n-(3-cyclopropyl-1h-pyrazol-5-yl)-2-(2-naphthyl)acetamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3603,n-alpha-(2-naphthylsulfonyl)-n(3-amidino-l-phenylalaninyl)-4-acetyl-piperazine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3604,terodiline,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3605,teriparatide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3606,midodrine,0,0,[],[],,0.0,0.0,0.0,0.2,0,0,0.0,0.0,0.894427190999916
3607,"4-[4-(2,5-dioxo-pyrrolidin-1-yl)-phenylamino]-4-hydroxy-butyric acid",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3608,mitemcinal,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3609,"4-(2-aminoethoxy)-3,5-dichloro-n-[3-(1-methylethoxy)phenyl]benzamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3610,4-(6-cyclohexylmethoxy-9h-purin-2-ylamino)--benzamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3611,"(1r,2s)-2-phenylcyclopropanaminium",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3612,4-(methylsulfonyl)benzenecarboximidamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3613,"[4-(6-chloro-naphthalene-2-sulfonyl)-piperazin-1-yl]-(3,4,5,6-tetrahydro-2h-[1,4']bipyridinyl-4-yl)-methanone",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3614,moxisylyte,0,0,[],[],,0.0,0.0,0.0,-0.2,0,0,0.0,0.0,-0.894427190999916
3615,"4-[(7-oxo-7h-thiazolo[5,4-e]indol-8-ylmethyl)-amino]-n-pyridin-2-yl-benzenesulfonamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3616,rhodamine 6g,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3617,"2,5-o,o-bis-{4',4''-amidinophenyl}-1,4:3,6-dianhydro-d-sorbitol",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3618,"4-(4-methoxy-1h-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3619,(s)-n-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3620,dtp-348,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3621,"4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2h)-one",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3622,micafungin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3623,flavin-adenine dinucleotide-n5-isobutyl ketone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3624,1d09c3,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3625,rizatriptan,0,0,[],[],,0.0,1.0,1.0,0.2,0,0,1.4142135623730951,1.4142135623730951,0.894427190999916
3626,bismuth subsalicylate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3627,rofecoxib,0,0,[],[],,0.0,1.0,1.0,0.0,0,0,1.4142135623730951,1.4142135623730951,0.0
3628,bismuth subgallate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3629,finasteride,0,0,[],[],,0.0,0.0,0.0,-0.3,0,0,0.0,0.0,-1.3416407864998738
3630,flucytosine,0,0,[],[],,0.0,0.0,0.0,-0.2,0,0,0.0,0.0,-0.894427190999916
3631,flunisolide,0,0,[],[],,0.0,0.0,0.0,-0.1,0,0,0.0,0.0,-0.447213595499958
3632,[3-(1-benzyl-3-carbamoylmethyl-2-methyl-1h-indol-5-yloxy)-propyl-]-phosphonic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3633,cysteamine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3634,cysteine,0,1,[],[5],,,,,,0,0,0.0,0.0,0.0
3635,"cysteine-methylene-carbamoyl-1,10-phenanthroline",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3636,(s)-n-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3637,almitrine,0,0,[],[],,0.0,-1.0,-1.0,0.0,0,0,-1.4142135623730951,-1.4142135623730951,0.0
3638,allylestrenol,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3639,terazosin,0,0,[],[],,0.0,-1.0,-1.0,0.0,0,0,-1.4142135623730951,-1.4142135623730951,0.0
3640,"4-(4-propoxy-1h-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3641,2-bromoacetyl group,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3642,r450,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3643,(s)-n-(4-carbamimidoylbenzyl)-1-(2-(cyclopentyloxy)ethanoyl)pyrrolidine-2-carboxamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3644,2-(2-methylphenyl)-1h-indole-5-carboximidamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3645,2-(2-methylphenyl)-1h-indole-6-carboximidamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3646,2-(2-{2-[(biphenyl-4-ylmethyl)-amino]-3-mercapto-pentanoylamino}-acetylamino)-3-methyl-butyric acid methyl ester,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3647,ricinoleic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3648,2-(4-hydroxy-5-phenyl-1h-pyrazol-3-yl)-1h-benzoimidazole-5-carboxamidine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3649,(2s)-n-[(3e)-5-cyclopropyl-3h-pyrazol-3-ylidene]-2-[4-(2-oxo-1-imidazolidinyl)phenyl]propanamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3650,variolin b,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3651,synephrine,0,0,[],[],,0.0,1.0,1.0,0.3,0,0,1.4142135623730951,1.4142135623730951,1.3416407864998738
3652,tak-901,0,2,[],"[3, 4]",,,,,,0,0,0.0,0.0,0.0
3653,proparacaine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3654,2-(thiomethylene)-4-methylpentanoic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3655,"(2s)-3-(1-{[2-(2-chlorophenyl)-5-methyl-1,3-oxazol-4-yl]methyl}-1h-indol-5-yl)-2-ethoxypropanoic acid",0,2,[],"[3, 4]",,,,,,0,0,0.0,0.0,0.0
3656,prazosin,0,0,[],[],,0.0,-1.0,-1.0,-0.2,0,0,-1.4142135623730951,-1.4142135623730951,-0.894427190999916
3657,potassium sulfate,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3658,potassium cation,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3659,2-anilino-6-cyclohexylmethoxypurine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3660,posaconazole,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3661,plinabulin,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3662,ulipristal,0,0,[],[],,0.0,-1.0,-1.0,0.0,0,0,-1.4142135623730951,-1.4142135623730951,0.0
3663,rpr128515,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3664,bis(5-amidino-benzimidazolyl)methanone zinc,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3665,rwj-51084,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3666,"4-methyl-5-[(2z)-2-{[4-(4-morpholinyl)phenyl]imino}-2,5-dihydro-4-pyrimidinyl]-1,3-thiazol-2-amine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3667,n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3668,"n-[4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-yl]-n',n'-dimethyl-benzene-1,4-diamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3669,n-hydroxy-1-(4-methoxyphenyl)sulfonyl-4-benzyloxycarbonyl-piperazine-2-carboxamide,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3670,"4-(2-aminoethoxy)-n-(3-chloro-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3671,"n,n'-dimethyl-n-(acetyl)-n'-(7-nitrobenz-2-oxa-1,3-diazol-4-yl)ethylenediamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3672,(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3673,beta-naphthoflavone,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3674,[4-(2-amino-4-methyl-thiazol-5-yl)-pyrimidin-2-yl]-(3-nitro-phenyl)-amine,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3675,tenoxicam,0,0,[],[],,0.0,1.0,1.0,0.4,0,0,1.4142135623730951,1.4142135623730951,1.788854381999832
3676,n-alpha-(2-naphthylsulfonyl)-n-(3-amidino-l-phenylalaninyl)-d-pipecolinic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3677,n-[(furan-2-yl)carbonyl]-(s)-leucyl-(r)-[1-amino-2(1h-indol-3-yl)ethyl]-phosphonic acid,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3678,streptokinase,0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3679,"4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-ylamine",0,0,[],[],,,,,,0,0,0.0,0.0,0.0
3680,troglitazone,0,0,[],[],,0.0,-1.0,-1.0,0.1,0,0,-1.4142135623730951,-1.4142135623730951,0.447213595499958
