,GeneId,aging_mechanisms,criteria,confidence,aging_mechanisms_group
1361,JAK2,'alterations in histone modifications',"[""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",3,Epigenetic alterations
1362,JAK2,'transcriptional alterations',"[""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",3,Epigenetic alterations
1363,JUN,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'""]",5,Epigenetic alterations
1364,JUND,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'""]",4,Epigenetic alterations
1365,KALRN,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1366,KATNB1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1367,KAZALD1,'INS/IGF-1 pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Deregulated nutrient sensing
1368,KBTBD6,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
1369,KCNA3,other,"[""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",2,other
1370,KCNA5,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1371,KCNJ16,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1372,KCNJ9,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1373,KCNK17,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1374,KCNK3,'intercellular communication impairment',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Altered intercellular communication
1375,KCNK4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1376,KCNT2,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1377,KDM1A,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1378,KDM1A,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1379,KDM1A,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1380,KDM1A,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1381,KDM2A,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1382,KDM2A,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1383,KDM2A,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1384,KDM2A,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1385,KDM3B,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1386,KDM3B,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1387,KDM3B,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1388,KDM5B,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1389,KDM5B,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1390,KDM5B,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1391,KDM6B,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1392,KDM6B,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1393,KDM6B,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1394,KDM6B,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1395,KDM6B,'sterile inflammation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1396,KDM7A,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1397,KDM7A,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1398,KDM7A,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1399,KDR,other,"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1400,KDSR,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1401,KHDRBS1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1402,KIAA1143,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1403,KIAA1217,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1404,KIF13B,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1405,KIF1B,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1406,KIF2A,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1407,KIF2C,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1408,KIF3B,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1409,KIF5B,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1410,KL,'INS/IGF-1 pathway dysregulation',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity reduce mammalian lifespan'""]",1,Deregulated nutrient sensing
1411,KL,'sterile inflammation',"[""'Changes in gene activity extend mammalian lifespan'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity reduce mammalian lifespan'""]",1,Altered intercellular communication
1412,KLC1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1413,KLF13,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1414,KLF3,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1415,KLF4,'transcriptional alterations',"[""'Changes in gene activity protect against age-related impairment'""]",5,Epigenetic alterations
1416,KLF4,'stem cell exhaustion',"[""'Changes in gene activity protect against age-related impairment'""]",5,Exhaustion of stem cells
1417,KLF5,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1418,KLF5,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1419,KLF6,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1420,KLF7,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1421,KLF9,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1422,KLRD1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1423,KLRF1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1424,KPNA4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1425,KPNA5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1426,KRAS,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1427,KRT1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1428,KRT10,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1429,KTN1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1430,LACTB,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
1431,LAIR1,other,"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'""]",5,other
1432,LAMA2,'changes in the extracellular matrix structure',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Changes in the extracellular matrix structure
1433,LAMA3,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Changes in the extracellular matrix structure
1434,LAMA4,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Changes in the extracellular matrix structure
1435,LAMA5,'changes in the extracellular matrix structure',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Changes in the extracellular matrix structure
1436,LAMB1,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Changes in the extracellular matrix structure
1437,LAMB2,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Changes in the extracellular matrix structure
1438,LAMB3,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
1439,LAMC2,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Changes in the extracellular matrix structure
1440,LAMP2,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1441,LAMTOR2,'TOR pathway dysregulation',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Deregulated nutrient sensing
1442,LAMTOR5,'TOR pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Deregulated nutrient sensing
1443,LBH,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1444,LCK,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1445,LDLR,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1446,LDLRAP1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1447,LEF1,'alterations in histone modifications',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1448,LEF1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1449,LEP,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Age-related changes in gene expression, methylation or protein activity'""]",5,Epigenetic alterations
1450,LEP,'TOR pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Age-related changes in gene expression, methylation or protein activity'""]",5,Deregulated nutrient sensing
1451,LEP,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Age-related changes in gene expression, methylation or protein activity'""]",5,Altered intercellular communication
1452,LEPR,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1453,LGALS1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1454,LGI1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1455,LGI4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1456,LGR5,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1457,LIMCH1,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1458,LIMK2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1459,LINS1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1460,LIPT1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1461,LITAF,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1462,LMAN1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1463,LMNA,'nuclear DNA instability',"[""'Association of the gene with accelerated aging in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Genomic instability
1464,LMNA,'nuclear architecture impairment',"[""'Association of the gene with accelerated aging in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Genomic instability
1465,LMNA,'chromatin remodeling',"[""'Association of the gene with accelerated aging in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Epigenetic alterations
1466,LMNA,'senescent cells accumulation',"[""'Association of the gene with accelerated aging in humans'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Cell senescence
1467,LMNB1,'nuclear architecture impairment',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'""]",4,Genomic instability
1468,LMNB1,'chromatin remodeling',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Regulation of genes associated with aging'""]",4,Epigenetic alterations
1469,LNPEP,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
1470,LNPEP,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1471,LNPK,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1472,LONP1,'mitochondrial DNA instability',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Genomic instability
1473,LONP1,'degradation of proteolytic systems',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Loss of proteostasis
1474,LONP1,'impairment of the mitochondrial integrity and biogenesis',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Mitochondrial dysfunction
1475,LOX,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'""]",5,Mitochondrial dysfunction
1476,LOX,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'""]",5,Changes in the extracellular matrix structure
1477,LOXL4,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1478,LPA,'degradation of proteolytic systems',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Loss of proteostasis
1479,LPAR6,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1480,LPIN1,'nuclear architecture impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1481,LPIN1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1482,LPP,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1483,LRP1B,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1484,LRP2,'INS/IGF-1 pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'""]",5,Deregulated nutrient sensing
1485,LRP4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1486,LRP8,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
1487,LRP8,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1488,LRRFIP1,'transcriptional alterations',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Epigenetic alterations
1489,LSM10,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1490,LSM2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1491,LSM4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1492,LSS,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1493,LST1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1494,LTBP1,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
1495,LTBP2,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
1496,LY6G5C,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1497,LY6G6F,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1498,LYPLA1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1499,LYVE1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1500,MACF1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1501,MAD1L1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1502,MADD,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1503,MAF,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1504,MAFF,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1505,MAFG,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1506,MAGED1,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1507,MAGED2,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1508,MAGI3,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1509,MAL,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1510,MAN1A2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1511,MAN1C1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1512,MAN2A1,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1513,MAOA,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1514,MAP1B,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1515,MAP2K4,'senescent cells accumulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Cell senescence
1516,MAP3K2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1517,MAP3K5,'senescent cells accumulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Cell senescence
1518,MAP3K5,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Association of genetic variants and gene expression levels with longevity'""]",4,Altered intercellular communication
1519,MAP3K7,'alterations in histone modifications',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Epigenetic alterations
1520,MAP3K7,'sterile inflammation',"[""'Association of genetic variants and gene expression levels with longevity'""]",5,Altered intercellular communication
1521,MAP3K7CL,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1522,MAP3K8,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1523,MAP3K9,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1524,MAP4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1525,MAP4K1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1526,MAP4K3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1527,MAPK1,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1528,MAPK1,'INS/IGF-1 pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Deregulated nutrient sensing
1529,MAPK1,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1530,MAPK10,'senescent cells accumulation',"[""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Cell senescence
1531,MAPK14,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Epigenetic alterations
1532,MAPK14,'senescent cells accumulation',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Cell senescence
1533,MAPK14,'stem cell exhaustion',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Exhaustion of stem cells
1534,MAPK3,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Epigenetic alterations
1535,MAPK3,'INS/IGF-1 pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Deregulated nutrient sensing
1536,MAPK3,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity'""]",5,Altered intercellular communication
1537,MAPK4,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1538,MAPK8,'impairment of the mitochondrial integrity and biogenesis',"[""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Mitochondrial dysfunction
1539,MAPK8,'senescent cells accumulation',"[""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Cell senescence
1540,MAPK8,'intercellular communication impairment',"[""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity reduce non-mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Altered intercellular communication
1541,MAPK8IP3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1542,MAPK9,'senescent cells accumulation',"[""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Association of genetic variants and gene expression levels with longevity'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,Cell senescence
1543,MAPKAP1,'TOR pathway dysregulation',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Deregulated nutrient sensing
1544,MAPKAP1,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1545,MAPRE2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1546,MAPT,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
1547,MAPT,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1548,MARK1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1549,MAT2A,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1550,MATR3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1551,MAX,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Epigenetic alterations
1552,MAX,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1553,MBD4,'nuclear DNA instability',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Genomic instability
1554,MBNL1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1555,MBNL2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
1556,MBOAT1,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
1557,MBP,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Altered intercellular communication
1558,MC2R,other,"[""'Association of genetic variants and gene expression levels with longevity'""]",5,other
